,App id,Review id,Sentence id,Sentence content,Feature (Positive),Feature (Neutral),Feature (Negative),Feature (All Annotated),clean_content,tags
0,com.zentertain.photoeditor,gp:AOqpTOEW40L9WXqCjzq04bqaZImgMdzlczxIF3_ibs8uLg-AfilbssRdMKE5oPPQnXDlw_LdpW5dkuI9WPP6jA4,1,May be i can check,,,,,"['may', 'be', 'i', 'can', 'check']","['O', 'O', 'O', 'O', 'O']"
1,com.zentertain.photoeditor,gp:AOqpTOF57AQPvmnCiWYurwLY-F2-mej25ON8RAFk-LswCMIZtq86ilHriz3feQ9k0h7RhL0QiSWk4U99LBErOyo,1,It make me happy,,,,,"['it', 'make', 'me', 'happy']","['O', 'O', 'O', 'O']"
2,com.zentertain.photoeditor,gp:AOqpTOHYdmt72q4tSD8TZ8A5fZQqGivlBkIbWuHuJMZYzfs60W9N5o7GPCK4cJScYXvC3tcaO86JP-1Lv3EOjrs,1,I have a normal phone and it made 1 of my pics look like one of a iphone 6 if u dont believe me look at my instagran account ... wings_2004,,pics,,pics,"['i', 'have', 'a', 'normal', 'phone', 'and', 'it', 'made', 'of', 'my', 'pics', 'look', 'like', 'one', 'of', 'a', 'iphone', 'if', 'u', 'dont', 'believe', 'me', 'look', 'at', 'my', 'instagran', 'account', 'wings']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3,com.zentertain.photoeditor,gp:AOqpTOFYnXMShrDJPS0jpM04pFQxYOJN1LDuX3lSNm06-73J9voSFo5lpIwecDAeawyQ2fQqaXOrYVNE4_VrvUk,1,Love it so much,,,,,"['love', 'it', 'so', 'much']","['O', 'O', 'O', 'O']"
4,com.zentertain.photoeditor,gp:AOqpTOF_JO496wnThQ2kcYlPct_g1GhOmQyyVvHp4VVUEJjRB99G_bz1kxw05VOvhBgabtbRKPP7Ui_3h8jouDA,1,Cant get to install,,install,,install,"['cant', 'get', 'to', 'install']","['O', 'O', 'O', 'B']"
5,com.zentertain.photoeditor,gp:AOqpTOHngsg4rH9hhnkMvmfTBetw8W5oNPFvVG4DOMLUkUvz_Xim3vsvRj66ThBxAk2SWVm-cO1mt7evFvdUywg,1,Too many ads and secondly erratic interface.,,ads,interface,ads;interface,"['too', 'many', 'ads', 'and', 'secondly', 'erratic', 'interface']","['O', 'O', 'B', 'O', 'O', 'O', 'B']"
6,com.zentertain.photoeditor,gp:AOqpTOHngsg4rH9hhnkMvmfTBetw8W5oNPFvVG4DOMLUkUvz_Xim3vsvRj66ThBxAk2SWVm-cO1mt7evFvdUywg,2,I have already uninstalled,,uninstalled,,uninstalled,"['i', 'have', 'already', 'uninstalled']","['O', 'O', 'O', 'B']"
7,com.zentertain.photoeditor,gp:AOqpTOHKHFklimpVTY1FLORdeeT_0e6o6uZkwmM1gG-34b4AfFSB2_OMGtwU8K-P23TC1PLEIUAok_GhSe5KSBA,1,Its so happy,,,,,"['its', 'so', 'happy']","['O', 'O', 'O']"
8,com.zentertain.photoeditor,gp:AOqpTOF-cffgSonaElAlUsEPVOIg_MuTSbvfJ2AR77gyTEGx7GKAbP9KCtshzHHrcCuE0b7YSLtObGUFMReiuWY,1,Nicest systematic for Android phones,,,,,"['nicest', 'systematic', 'for', 'android', 'phones']","['O', 'O', 'O', 'O', 'O']"
9,com.zentertain.photoeditor,gp:AOqpTOEhoSCYpfLpjgg5PPkcRO6lsqhfUeqwpDty6KzcI4PSA6Hu2oQxbloPVbyGtYiRyaB6aYRwq4UmmkehKMw,1,Its so easy and fun,,,,,"['its', 'so', 'easy', 'and', 'fun']","['O', 'O', 'O', 'O', 'O']"
10,com.zentertain.photoeditor,gp:AOqpTOH92lp1kTfi_m0kIvEZgXrKQbXHgEvMFUIi3InTZdBKNDtfKb7ucZ6VQN0JRmPggV7pBWA-XYjZti4a29I,1,Main diss app tight um hmmm,,,,,"['main', 'diss', 'app', 'tight', 'um', 'hmmm']","['O', 'O', 'O', 'O', 'O', 'O']"
11,com.zentertain.photoeditor,gp:AOqpTOFIt0cNHlpMS3za21IUwQ50y36FJfio-6lw-SVn5MnCVl1JlnaAcig4ASthUz3cBosbzG5ecKjeELB867Y,1,Everything is awesome,,,,,"['everything', 'is', 'awesome']","['O', 'O', 'O']"
